Country,Mean SST,Min SST,Max SST,PERIOD
Brunei,29.760274305555555,26.7,32.96,2016
Cambodia,29.79239583333333,28.59,31.8,2016
East Timor,30.07526515151515,27.13,33.54,2016
Indonesia,29.95907131739048,26.11,35.0,2016
Malaysia,30.085139594501744,25.53,35.0,2016
Myanmar,29.04151506606568,24.22,32.38,2016
Philippines,29.13053102113238,23.2,32.52,2016
Singapore,30.52909722222222,28.59,33.11,2016
Thailand,29.84307094292468,27.43,35.0,2016
Vietnam,28.41971810769432,16.21,34.71,2016
Brunei,30.01760416666667,26.55,32.38,2017
Cambodia,29.62608630952381,28.15,31.94,2017
East Timor,29.379848484848484,26.99,32.38,2017
Indonesia,29.483145113756795,23.78,33.98,2017
Malaysia,30.057638829448663,26.26,35.0,2017
Myanmar,28.911392609126988,25.68,32.52,2017
Philippines,29.14590056617936,22.76,32.52,2017
Singapore,30.34486111111111,28.15,32.23,2017
Thailand,29.87560652905074,27.13,35.0,2017
Vietnam,28.343728081272456,17.96,34.56,2017
Brunei,29.765572916666667,26.84,32.52,2018
Cambodia,29.42587797619048,28.01,31.94,2018
East Timor,29.27791937229437,26.84,32.23,2018
Indonesia,29.34794628486321,23.2,35.0,2018
Malaysia,29.854576531643925,26.41,35.0,2018
Myanmar,28.839985928571327,24.66,31.94,2018
Philippines,28.879526414230497,22.91,33.11,2018
Singapore,29.92090277777778,27.57,33.98,2018
Thailand,29.711704116765947,26.55,35.0,2018
Vietnam,28.169941991617524,14.46,32.38,2018
Brunei,29.719739583333336,26.7,32.09,2019
Cambodia,29.88958333333333,28.44,32.23,2019
East Timor,28.862882575757578,25.53,32.52,2019
Indonesia,29.098525947937475,21.74,35.0,2019
Malaysia,29.937438101945503,25.09,35.0,2019
Myanmar,28.92198087262702,24.66,31.94,2019
Philippines,28.8518253652032,23.93,33.54,2019
Singapore,30.23444444444445,26.84,35.0,2019
Thailand,29.96107816893884,27.13,34.27,2019
Vietnam,28.5262773212593,16.5,32.67,2019
Brunei,29.753768849206352,26.84,32.38,2020
Cambodia,29.84895833333333,28.59,32.38,2020
East Timor,29.425421511627903,26.99,32.23,2020
Indonesia,29.63113170866788,24.37,35.0,2020
Malaysia,29.93182056808789,25.53,35.0,2020
Myanmar,29.036724486140912,23.64,33.11,2020
Philippines,29.19519711600266,23.49,32.52,2020
Singapore,30.47020833333333,28.74,33.98,2020
Thailand,29.882104149561677,26.99,35.0,2020
Vietnam,28.515134101953407,18.1,35.0,2020
Brunei,29.706822916666667,25.82,32.09,2021
Cambodia,29.5403125,27.86,31.21,2021
East Timor,29.464302766032414,27.43,32.38,2021
Indonesia,29.66758377272473,24.37,34.27,2021
Malaysia,29.95807808776705,24.8,35.0,2021
Myanmar,29.26533564814815,25.09,32.38,2021
Philippines,29.118129891996613,23.49,33.11,2021
Singapore,30.230625,27.43,33.25,2021
Thailand,29.74812890638388,26.26,33.83,2021
Vietnam,28.16595170081429,15.77,32.67,2021
Brunei,29.780672123015872,26.99,32.23,2022
Cambodia,29.603854166666665,28.01,31.8,2022
East Timor,29.62035984848485,26.99,32.23,2022
Indonesia,29.625257975648815,24.22,35.0,2022
Malaysia,29.92214755420368,26.55,34.56,2022
Myanmar,29.21281753220612,24.37,31.65,2022
Philippines,29.180825809531893,24.07,33.11,2022
Singapore,29.91944444444444,27.57,34.56,2022
Thailand,29.77056478070715,27.28,33.11,2022
Vietnam,28.409356614728008,14.31,34.13,2022
